Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",camel-case,"moveNorth",Yes,2.68
"jump high",camel-case,"jumpHigh",Yes,2.60
"run fast",camel-case,"runFast",Yes,2.03
"cook dinner",camel-case,"cookDinner",Yes,1.52
"build house",camel-case,"buildHouse",Yes,3.10
"close all windows",camel-case,"closeAllWindows",Yes,3.70
"send a quick message",camel-case,"sendAQuickMessage",Yes,3.98
"eat a red apple",camel-case,"eatARedApple",Yes,2.83
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,2.84
"watch a new movie",camel-case,"watchANewMovie",Yes,3.90
"move north",kebab-case,"move-north",Yes,3.13
"jump high",kebab-case,"jump-high",Yes,2.10
"run fast",kebab-case,"run-fast",Yes,2.50
"cook dinner",kebab-case,"cook-dinner",Yes,2.17
"build house",kebab-case,"build-house",Yes,1.43
"close all windows",kebab-case,"close-all-windows",Yes,2.63
"send a quick message",kebab-case,"send-a-quick-message",Yes,3.47
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,3.13
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,5.82
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,2.67
