Question,Format,Selected Answer,Correct,Time Taken (s)
"move north",camel-case,"moveNorth",Yes,4.12
"jump high",camel-case,"jumpHigh",Yes,2.29
"run fast",camel-case,"runFast",Yes,1.71
"cook dinner",camel-case,"cookDinner",Yes,1.68
"build house",camel-case,"buildHouse",Yes,6.42
"close all windows",camel-case,"closeAllWindows",Yes,6.38
"send a quick message",camel-case,"sendAQuickMessage",Yes,4.75
"eat a red apple",camel-case,"eatARedApple",Yes,5.50
"scan the printed document",camel-case,"scanThePrintedDocument",Yes,9.23
"watch a new movie",camel-case,"watchANewMovie",Yes,11.05
"move north",kebab-case,"move-north",Yes,10.12
"jump high",kebab-case,"jump-high",Yes,5.47
"run fast",kebab-case,"run-fast",Yes,4.83
"cook dinner",kebab-case,"cook-dinner",Yes,2.35
"build house",kebab-case,"build-house",Yes,5.67
"close all windows",kebab-case,"close-all-windows",Yes,4.52
"send a quick message",kebab-case,"send-a-quick-message",Yes,7.68
"eat a red apple",kebab-case,"eat-a-red-apple",Yes,13.00
"scan the printed document",kebab-case,"scan-the-printed-document",Yes,18.18
"watch a new movie",kebab-case,"watch-a-new-movie",Yes,4.98
